categoria_de_la_mutuacion,nombre,dificultad,efecto,costo(PM),probabilidad _de_tocar(peso),restricciones
Efectos al Golpear (On-Hit),anti_armor_2,intermedio,probalidad del 7% de hacer 24 de daño a cualquier pieza de armadura de manera aleatoria,6,40,
Efectos al Golpear (On-Hit),anti_armor_3,dificil,probalidad del 9% de hacer 48 de daño a cualquier pieza de armadura de manera aleatoria,9,15,
Efectos al Golpear (On-Hit),anti_shield_1,intemedio,probabilidad de inhavilitar el escudo del 20% por 3 segundos,7,50,
Efectos al Golpear (On-Hit),anti_shield_2,dificil,probabilidad de inhavilitar el escudo del 25% por 5 segundos,11,30,
Efectos al Golpear (On-Hit),bleeding_1,debil,"probabilidad 5% aplicar un efecto en cadena 4 veces, cada 4 segundos, 1 punto de daño, 1 punto de daño, 1 punto de daño y 2 punto de daño",6,55,
Efectos al Golpear (On-Hit),bleeding_2,intermedio,"probabilidad 4% aplicar un efecto en cadena 4 veces, cada 4 segundos, 1 punto de daño, 2 punto de daño, 2 punto de daño y 2 punto de daño",9,35,
Efectos al Golpear (On-Hit),bleeding_3,dificil,"probabilidad 3% aplicar un efecto en cadena 4 veces, cada 4 segundos, 1 punto de daño, 2 punto de daño, 3 punto de daño y 5 punto de daño",13,15,
Efectos al Golpear (On-Hit),blindness_1,dificil,probabilidad del 10% de aplicar Blindness 1 por 2 segundos y vision nocturna por 4 segundos para cuando la ceguera termine tenga un plus de vision amplificada,8,35,
Efectos al Golpear (On-Hit),chaos_touch_1,debil,10% de probabilidad de intercambiar el objeto que el jugador sostiene con el que tiene a su derecha en la hotba,7,15,El mob que lo aplica recibe Lentitud II (2s).
Efectos al Golpear (On-Hit),chaos_touch_2,intermedio,8% de probabilidad de ciclar aleatoriamente toda la hotbar del jugador una posición a la izquierda o a la derecha,12,10,El mob que lo aplica recibe Lentitud II (2s).
Efectos al Golpear (On-Hit),chaos_touch_3,dificil,5% de probabilidad de desordenar aleatoriamente los 9 espacios de la hotbar del jugador.,18,5,"El mob que lo aplica recibe Lentitud II (2s), ademas chaos_touch_3 es imcompatilbe con concussive_blow_3"
Efectos al Golpear (On-Hit),concussive_blow_1,debil,20% de probabilidad de sacudir violentamente la cámara del jugador por 0.5 segundos.,4,75,
Efectos al Golpear (On-Hit),concussive_blow_2,intermedio,"15% de probabilidad de aplicar ""Visión de Túnel"" por 3 segundos (simulado con Ceguera y Visión Nocturna), reduciendo drásticamente la visión periférica.",8,45,
Efectos al Golpear (On-Hit),concussive_blow_3,dificil,"10% de probabilidad de ""Desorientar"", girando la cámara del jugador 180 grados para que mire en la dirección opuesta.",13,20,El mob no puede atacar por 1.5 segundos tras activarse.
Efectos al Golpear (On-Hit),critical_1,debil,probabilidad de 7% de hacer critico añadiendo +2 de attack_damage a esa instasia de daño,4,75,
Efectos al Golpear (On-Hit),critical_2,intermedio,probabilidad de 10% de hacer critico añadiendo +3 de attack_damage a esa instasia de daño,7,50,
Efectos al Golpear (On-Hit),critical_3,dificil,probabilidad de 13% de hacer critico añadiendo +4 de attack_damage a esa instasia de daño,11,25,El jugador recibe Velocidad I (1s) al recibir el crítico.
Efectos al Golpear (On-Hit),deafening_strike_1,debil,"15% de probabilidad de aplicar ""Oídos Zumbando"" por 4 segundos, reduciendo el alcance al que el jugador puede oír los sonidos de los mobs en un 50%.",5,65,
Efectos al Golpear (On-Hit),deafening_strike_2,intermedio,"10% de probabilidad de aplicar ""Sonidos Fantasma"" por 6 segundos. El jugador oirá sonidos de mobs hostiles (zombis, esqueletos) aleatoriamente a su alrededor, aunque no haya nada.",9,40,
Efectos al Golpear (On-Hit),deafening_strike_3,dificil,"8% de probabilidad de aplicar ""Silencio Absoluto"" por 5 segundos. El jugador no puede oír ningún sonido de mob (pasos, arcos, silbidos de creeper)",14,15,
Efectos al Golpear (On-Hit),disarm_1,dificil,probabilidad del 7% de quitarle el objeto de la mano al jugador,18,10,El mob que lo aplica recibe Lentitud II (3s).
Efectos al Golpear (On-Hit),essence_siphon_1,debil,"10% de probabilidad de reducir la duración de un efecto de poción positivo aleatorio (Fuerza, Velocidad, etc.) en el jugador en 5 segundos.",6,60,
Efectos al Golpear (On-Hit),essence_siphon_2,intermedio,"8% de probabilidad de robar un efecto positivo aleatorio del jugador, aplicándoselo a sí mismo con una duración de 6 segundos (el jugador no pierde el efecto).",11,30,
Efectos al Golpear (On-Hit),essence_siphon_3,dificil,"5% de probabilidad de ""Corromper Esencia"". Convierte un efecto positivo aleatorio del jugador en su contraparte negativa por 8 segundos (ej. Regeneración -> Veneno).",17,10,
Efectos al Golpear (On-Hit),experience_theft_1,debil,probabilidad del 25% de quitarle 5 orbes de experiencia vanilla,2,90,
Efectos al Golpear (On-Hit),experience_theft_2,intermedio,probabilidad del 25% de quitarle 10 orbes de experiencia vanilla,3,70,
Efectos al Golpear (On-Hit),experience_theft_3,dificil,probabilidad del 25% de quitarle 15 orbes de experiencia vanilla,4,50,
Efectos al Golpear (On-Hit),fire_1,debil,probabilidad del 15% de aplicar fuego por 2 segundos,4,70,No aplicable a mobs del Nether.
Efectos al Golpear (On-Hit),fire_2,intermedio,probabilidad del 15% de aplicar fuego por 4 segundos,6,50,No aplicable a mobs del Nether.
Efectos al Golpear (On-Hit),fire_3,dificil,probabilidad del 15% de aplicar fuego por 6 segundos,9,25,No aplicable a mobs del Nether.
Efectos al Golpear (On-Hit),freezing_1,debil,probabilidad del 15% de aplicar freezing por 1 segundo,5,60,"No aplicable a Strays, ademas freezing_1 es incompatible con slowness_3, slowness_2 y slowness_1"
Efectos al Golpear (On-Hit),freezing_2,intermedio,probabilidad del 15% de aplicar freezing por 2 segundos,8,40,"No aplicable a Strays, ademas freezing_2 es incompatible con slowness_3, slowness_2 y slowness_1"
Efectos al Golpear (On-Hit),freezing_3,dificil,probabilidad del 15% de aplicar freezing por 3 segundos,12,20,"El mob recibe Lentitud I (1s) al aplicarlo, ademas freezing_3 es incompatible con slowness_3, slowness_2 y slowness_1"
Efectos al Golpear (On-Hit),frenzy_1,debil,25% de probabilidad de que el mob gane Velocidad de Movimiento I (+20%) durante 3 segundos,6,65,le da al jugador fuerza 1 por 3 segundos
Efectos al Golpear (On-Hit),frenzy_2,intermedio,20% de probabilidad de que el mob gane Velocidad de Movimiento I y Velocidad de Ataque I (+10%) durante 4 segundos,10,40,le da al jugador fuerza 1 por 4 segundos
Efectos al Golpear (On-Hit),frenzy_3,dificil,15% de probabilidad de que el mob gane Velocidad de Movimiento I (+20%) y Velocidad de Ataque I (+10%) durante 5 segundos,16,12,El efecto se puede acumular hasta 3 veces y el jugador le da fuerza 2 por 5 segundos
Efectos al Golpear (On-Hit),glowing_1,debil,probabilidad del 20% de aplicar glowing 1 por 1 segundo,2,95,
Efectos al Golpear (On-Hit),glowing_2,intermedio,"probabilidad del 20% de aplicar glowing 1 por 1 segundo dos veces, es decir, parpadea 2 veces",3,75,
Efectos al Golpear (On-Hit),glowing_3,dificil,"probabilidad del 20% de aplicar glowing 1 por 1 segundo tres veces, es decir, parpadea 3 veces",4,55,
Efectos al Golpear (On-Hit),hunger_1,debil,probabilidad de 15% de aplicar Hunger 1 por 4 segundos,3,75,
Efectos al Golpear (On-Hit),hunger_2,intermedio,probabilidad de 10% de aplicar Hunger 1 por 8 segundos,5,55,
Efectos al Golpear (On-Hit),hunger_3,dificil,probabilidad de 5% de aplicar Hunger 1 por 12 segundos,7,35,
Efectos al Golpear (On-Hit),levitation_1,intermedio,probablidad del 10% de aplicar levitation 1 por 1 segundos,9,30,
Efectos al Golpear (On-Hit),levitation_2,dificil,probablidad del 10% de aplicar levitation 1 por 3 segundos,14,12,"El mob también recibe Levitación I (1.5s) al aplicarlo, ademas levitation_2 es incompatible con vertical_thrust_3"
Efectos al Golpear (On-Hit),mining_fatigue_1,debil,probabilidad del 15% de aplicar Mining Fatigue 1 por 4 segundos,4,70,
Efectos al Golpear (On-Hit),mining_fatigue_2,intermedio,probabilidad del 15% de aplicar Mining Fatigue 1 por 8 segundos,6,50,
Efectos al Golpear (On-Hit),mining_fatigue_3,dificil,probabilidad del 15% de aplicar Mining Fatigue 2 por 4 segundos,9,30,
Efectos al Golpear (On-Hit),mortal_wound_1,debil,"15% de probabilidad de aplicar ""Herida Leve"" por 4 segundos, reduciendo toda la curación recibida por el jugador (pociones, regeneración, saturación) en un 33%",7,55,
Efectos al Golpear (On-Hit),mortal_wound_2,intermedio,"10% de probabilidad de aplicar ""Herida Grave"" por 4 segundos, reduciendo toda la curación recibida en un 75%",12,25,
Efectos al Golpear (On-Hit),mortal_wound_3,dificil,"5% de probabilidad de aplicar ""Sello de Muerte"" por 4 segundos, impidiendo toda curación (100%).",19,7,mortal_wound_3 incompatible con bleeding_3 y poison_3
Efectos al Golpear (On-Hit),nausea_1,dificil,probabilidad del 10% de aplicar Nausea 1 por 4 segundos,7,40,
Efectos al Golpear (On-Hit),pain_link_1,debil,"10% de probabilidad de crear un ""Vínculo de Dolor"" por 4 segundos. Durante este tiempo, cada vez que el jugador ataque (con éxito o no), recibe 1 punto de daño mágico",7,50,
Efectos al Golpear (On-Hit),pain_link_2,intermedio,"8% de probabilidad de crear un ""Vínculo de Dolor"" por 5 segundos. Cada vez que el jugador ataque, recibe 2 puntos de daño mágico",11,30,le da al jugador fuerza 1 por 5 segundos
Efectos al Golpear (On-Hit),pain_link_3,dificil,"5% de probabilidad de crear un ""Vínculo de Sacrificio"" por 6 segundos. El 20% de todo el daño que reciba el mob durante este tiempo se redirige al jugador como daño mágico",17,10,le da al jugador resistencia 1 por 4 segundos
Efectos al Golpear (On-Hit),poison_1,debil,probabilidad del 15% de aplicar poison 1 por 5 segundos,3,80,
Efectos al Golpear (On-Hit),poison_2,intermedio,probabilidad del 10% de aplicar poison 1 por 10 segundos,5,60,
Efectos al Golpear (On-Hit),poison_3,dificil,probabilidad del 5% de aplicar poison 1 por 15 segundos,8,35,El jugador recibe Saturación I (1s) al ser envenenado.
Efectos al Golpear (On-Hit),push_1,debil,probabilidad del 15% de empujar 2 bloque de distancia,3,85,
Efectos al Golpear (On-Hit),push_2,intermedio,probabilidad del 15% de empujar 3 bloque de distancia,5,60,
Efectos al Golpear (On-Hit),push_3,dificil,probabilidad del 15% de empujar 4 bloque de distancia,7,35,
Efectos al Golpear (On-Hit),shatter_armor_1,debil,15% de probabilidad de reducir la efectividad de la armadura del jugador en un 15% durante 3 segundos.,6,60,
Efectos al Golpear (On-Hit),shatter_armor_2,intermedio,15% de probabilidad de reducir la efectividad de la armadura del jugador en un 25% durante 3 segundos.,10,35,
Efectos al Golpear (On-Hit),shatter_armor_3,dificil,15% de probabilidad de reducir la efectividad de la armadura del jugador en un 35% durante 3 segundos.,15,15,
Efectos al Golpear (On-Hit),slow_falling_1,debil,probabilidad del 15% de aplica slow_falling 1 por 3 segundos,4,65,
Efectos al Golpear (On-Hit),slow_falling_2,intermedio,probabilidad del 15% de aplica slow_falling 1 por 5 segundos,6,45,
Efectos al Golpear (On-Hit),slow_falling_3,dificil,probabilidad del 15% de aplica slow_falling 1 por 7 segundos,8,25,
Efectos al Golpear (On-Hit),slowness_1,debil,probabilidad del 15% de aplicar slowness 1 por 2 segundos,3,80,
Efectos al Golpear (On-Hit),slowness_2,intermedio,probabilidad del 15% de aplicar slowness 1 por 3 segundos,5,60,
Efectos al Golpear (On-Hit),slowness_3,dificil,probabilidad del 15% de aplicar slowness 1 por 5 segundos,7,40,
Efectos al Golpear (On-Hit),teleportation_1,debil,probabilidad del 5% de teletransportar al enemigo en un radio de 2 bloques,5,60,
Efectos al Golpear (On-Hit),teleportation_2,intermedio,"probabilidad del 4% de teletransportar al enemigo en un radio de 2 bloques, aplicandole cegera por 1 segundo",8,40,
Efectos al Golpear (On-Hit),teleportation_3,dificil,"probabilidad del 5% de teletransportar al enemigo en un radio de 2 bloques, aplicandole cegera 1 segundo, lentitud 1 por 2 segundos y resistencia 1 por 2 segundos",12,20,
Efectos al Golpear (On-Hit),theft_of_life_1,debil,probabilidad del 20% de curarse 4 puntos de vida,5,70,
Efectos al Golpear (On-Hit),theft_of_life_2,intermedio,probabilidad del 20% de curarse 6 puntos de vida,8,45,
Efectos al Golpear (On-Hit),theft_of_life_3,dificil,probabilidad del 20% de curarse 8 puntos de vida,12,20,
Efectos al Golpear (On-Hit),true_damage_1,intermedio,probabilidad del 10% de ignorar toda la armadura,16,15,"El mob no puede atacar por 1.5 segundos tras activarse, ademas true_damage_1 es incompatible anti_shield_2 y anti_shield_1"
Efectos al Golpear (On-Hit),true_damage_2,dificil,probabilidad del 20% de ignorar toda la armadura,24,8,"El mob no puede atacar por 2.5 segundos tras activarse, ademas true_damage_2 es incompatible anti_shield_2 y anti_shield_1"
Efectos al Golpear (On-Hit),unstable_hit_1,debil,"15% de probabilidad de aplicar ""Suelos Resbaladizos"" al jugador por 3 segundos (similar a caminar sobre hielo)",4,70,
Efectos al Golpear (On-Hit),unstable_hit_2,intermedio,"10% de probabilidad de aplicar ""Gravedad Aumentada"" por 2 segundos, impidiendo que el jugador pueda saltar más de medio bloque",8,45,
Efectos al Golpear (On-Hit),unstable_hit_3,dificil,"8% de probabilidad de aplicar ""Inversión de Controles"" por 1.5 segundos. (W es S, A es D, etc.)",13,20,
Efectos al Golpear (On-Hit),vertical_thrust_1,debil,probabilidad de levantar al objetivo de 20% 1 bloque de altura,4,75,
Efectos al Golpear (On-Hit),vertical_thrust_2,intermedio,probabilidad de levantar al objetivo de 20% 2 bloque de altura,7,50,
Efectos al Golpear (On-Hit),vertical_thrust_3,dificil,probabilidad de levantar al objetivo de 20% 4 bloque de altura,11,25,El mob no puede atacar por 1 segundo tras activarse.
Efectos al Golpear (On-Hit),weakness_1,deficil,probabilidad del 10% de aplicar weakness 1 por 6 segundos,10,25,
Efectos al Golpear (On-Hit),wither_1,debil,probabilidad del 13% de aplicar wither 1 por 3 segundos,6,60,No aplicable a Esqueletos Wither.
Efectos al Golpear (On-Hit),wither_2,intermedio,probabilidad del 11% de aplicar wither 1 por 5 segundos,9,40,No aplicable a Esqueletos Wither.
Efectos al Golpear (On-Hit),wither_3,dificil,probabilidad del 8% de aplicar wither 1 por 7 segundos,13,18,No aplicable a Esqueletos Wither.
Exclusivas de Mob,abyssal_armor_1,debil,Sus espinas infligen 1 punto de daño adicional.,6,60,Restricción de Mob: Guardián Anciano.
Exclusivas de Mob,abyssal_armor_2,intermedio,"Sus espinas ahora también aplican ""Presión de las Profundidades"", un efecto de Lentitud II que dura 3 segundos.",13,28,Restricción de Mob: Guardián Anciano.
Exclusivas de Mob,abyssal_armor_3,dificil,"Puede ""Extender Espinas"". Durante 5 segundos, sus espinas se alargan, aumentando el radio de su ataque de espinas en un 50% y reflejando el 25% del daño cuerpo a cuerpo.",21,9,Restricción de Mob: Guardián Anciano.
Exclusivas de Mob,abyssal_maneuvers_1,debil,Se mueve un 20% más rápido.,6,60,Restricción de Mob: Wither.
Exclusivas de Mob,abyssal_maneuvers_2,intermedio,"Puede realizar un ""Golpe de Parpadeo"", un teletransporte de corto alcance directamente hacia un jugador para realizar un ataque cuerpo a cuerpo.",13,28,Restricción de Mob: Wither.
Exclusivas de Mob,abyssal_maneuvers_3,dificil,"Puede crear un ""Vórtice de Almas"" que atrae lentamente a los jugadores hacia él durante 5 segundos, haciéndolos vulnerables a sus ataques de calavera.",21,9,Restricción de Mob: Wither. Tiene un cooldown interno de 15 segundos.
Exclusivas de Mob,acidic_core_1,debil,"Al morir, deja un charco inofensivo de partículas verdes que dura 4 segundos.",3,75,Restricción de Mob: Slime.
Exclusivas de Mob,acidic_core_2,intermedio,"Al morir, deja un charco de 3x3 que inflige 1 de daño por segundo a los jugadores que lo pisen. Dura 6 segundos.",8,45,Restricción de Mob: Slime.
Exclusivas de Mob,acidic_core_3,dificil,"Al morir, suelta 3 ""Góbulos Ácidos"" que vuelan en direcciones aleatorias. Al impactar, crean un pequeño charco que inflige 2 de daño por segundo durante 4 segundos.",14,18,Restricción de Mob: Slime.
Exclusivas de Mob,aerial_maneuvers_1,debil,Se mueve un 20% más rápido.,6,60,Restricción de Mob: Ghast.
Exclusivas de Mob,aerial_maneuvers_2,intermedio,"Puede realizar un ""Impulso Lateral"" rápido para esquivar un proyectil que se acerca.",12,30,Restricción de Mob: Ghast. Tiene un cooldown interno de 6 segundos.
Exclusivas de Mob,aerial_maneuvers_3,dificil,"Puede realizar un ""Bombardeo en Picado"", descendiendo rápidamente para disparar una bola de fuego a quemarropa antes de ascender de nuevo.",19,10,Restricción de Mob: Ghast.
Exclusivas de Mob,alphas_vengeance_1,debil,"Cuando un lobo aliado muere en un radio de 12 bloques, este lobo gana Velocidad I por 5 segundos.",5,65,Restricción de Mob: Lobo.
Exclusivas de Mob,alphas_vengeance_2,intermedio,"Cuando un lobo aliado muere cerca, este lobo entra en un estado de ""Furia"", ganando Fuerza I durante 6 segundos.",10,35,Restricción de Mob: Lobo.
Exclusivas de Mob,alphas_vengeance_3,dificil,"Al morir, el lobo suelta un ""Aullido Final"" que otorga a todos los lobos aliados en un radio de 20 bloques Regeneración I y Fuerza I durante 8 segundos.",16,15,Restricción de Mob: Lobo. Incompatible con otras mutaciones On-Death.
Exclusivas de Mob,ambusher_1,debil,"Permanece inmóvil si un jugador está cerca pero no lo ha visto, esperando el momento oportuno para moverse.",5,65,Restricción de Mob: Creeper.
Exclusivas de Mob,ambusher_2,intermedio,"Puede volverse semi-transparente si está en la sombra (nivel de luz inferior a 6), camuflándose.",10,35,Restricción de Mob: Creeper.
Exclusivas de Mob,amphibious_assault_1,debil,Sobrevive fuera del agua durante 1 minuto en lugar de los pocos segundos habituales.,4,70,Restricción de Mob: Guardián.
Exclusivas de Mob,amphibious_assault_2,intermedio,"Puede ""levitar"" a 1 bloque del suelo fuera del agua, permitiéndole moverse lentamente por tierra firme.",10,35,Restricción de Mob: Guardián.
Exclusivas de Mob,amphibious_assault_3,dificil,"Fuera del agua, su rayo se sobrecarga, infligiendo un 25% de daño adicional y prendiendo fuego al bloque que impacta.",17,12,Restricción de Mob: Guardián.
Exclusivas de Mob,ancient_curse_1,debil,Sus ataques tienen un 10% de probabilidad de aplicar Fatiga de Minero I por 4 segundos.,6,60,Restricción de Mob: Husk.
Exclusivas de Mob,ancient_curse_2,intermedio,"Al morir, tiene un 25% de probabilidad de dejar una ""Arena Maldita"" en el bloque donde murió. Si un jugador la pisa, recibe Hambre I por 15 segundos.",11,30,Restricción de Mob: Husk.
Exclusivas de Mob,ancient_curse_3,dificil,"Sus ataques tienen un 5% de probabilidad de aplicar la ""Maldición de la Momia"", un efecto que reduce la efectividad de la comida (restaura un 25% menos de hambre) durante 20 segundos.",18,14,Restricción de Mob: Husk.
Exclusivas de Mob,apiarian_warfare_1,debil,"Sus ataques cuerpo a cuerpo (no el aguijón) tienen un 25% de probabilidad de aplicar ""Miel Pegajosa"", un efecto de Lentitud I que dura 2 segundos.",5,65,Restricción de Mob: Abeja.
Exclusivas de Mob,apiarian_warfare_2,intermedio,"Al ser golpeada, tiene un 20% de probabilidad de dejar caer un bloque de miel temporal en el suelo que ralentiza a las entidades. Desaparece después de 6 segundos.",9,38,Restricción de Mob: Abeja.
Exclusivas de Mob,apiarian_warfare_3,dificil,"Al morir, explota en una ""Ducha de Miel"" que crea un área de 3x3 de miel pegajosa en el suelo y aplica Lentitud II (4s) a los jugadores en un radio de 4 bloques.",15,15,Restricción de Mob: Abeja. Incompatible con swarm_tactics_3
Exclusivas de Mob,aquatic_stalker_1,debil,Se mueve un 20% más rápido cuando nada.,4,70,Restricción de Mob: Ahogado.
Exclusivas de Mob,aquatic_stalker_2,intermedio,"Puede realizar un ""Impulso Abisal"", una carga rápida de 6 bloques bajo el agua.",9,38,Restricción de Mob: Ahogado. Tiene un cooldown interno de 7 segundos.
Exclusivas de Mob,aquatic_stalker_3,dificil,"Mientras está en el agua y no se mueve, se vuelve semi-transparente, haciéndolo mucho más difícil de ver desde la superficie.",15,18,Restricción de Mob: Ahogado.
Exclusivas de Mob,arctic_fortitude_1,debil,Tiene 6 puntos de armadura natural y un 25% de resistencia al empuje.,6,60,Restricción de Mob: Oso Polar.
Exclusivas de Mob,arctic_fortitude_2,intermedio,Es inmune a los efectos de Lentitud y Congelación (Freezing).,11,30,Restricción de Mob: Oso Polar.
